animal,scientific_name,filename,public_path,status,seed,request_id,generated_at,error
大熊猫,Ailuropoda melanoleuca,ailuropoda-melanoleuca-e9f782e9.png,/animals/ailuropoda-melanoleuca-e9f782e9.png,success,1798089395,407510f5-c3e9-9b36-9800-72928e54a2f9,2026-08-09T17:08:11+00:00,
小熊猫,Ailurus,ailurus-42c8f300.png,/animals/ailurus-42c8f300.png,success,1140726474,47232446-c4dc-9b1a-ad92-b2f87f399564,2026-08-09T17:11:12+00:00,
川金丝猴,Rhinopithecus roxellana,rhinopithecus-roxellana-657c4dc4.png,/animals/rhinopithecus-roxellana-657c4dc4.png,success,1722905998,2ebd575b-76aa-9bde-b908-b660e1e72db7,2026-08-09T17:12:22+00:00,
羚牛,Budorcas taxicolor,budorcas-taxicolor-93a7fb87.png,/animals/budorcas-taxicolor-93a7fb87.png,success,350036817,e622afa8-e056-9097-85c5-01ed6f2d6d53,2026-08-09T17:13:31+00:00,
小麂,Muntiacus reevesi,muntiacus-reevesi-f8a9ce35.png,/animals/muntiacus-reevesi-f8a9ce35.png,success,2044655103,6de17d3a-2389-978a-a81a-5b3d70a7ed16,2026-08-09T17:14:31+00:00,
豺,Cuon alpinus,cuon-alpinus-a0a8d181.png,/animals/cuon-alpinus-a0a8d181.png,success,568195403,c43d9772-e09a-924c-af2c-a0d12b95e5fe,2026-08-09T17:15:43+00:00,
中华扭角羚四川亚种,Budorcas taxicolor,budorcas-taxicolor-9bdcfc77.png,/animals/budorcas-taxicolor-9bdcfc77.png,success,487728193,61ac83c7-69b6-90c1-8b32-151b654bcd41,2026-08-09T17:16:41+00:00,
双角犀鸟,Buceros bicornis,buceros-bicornis-ac7dfbdd.png,/animals/buceros-bicornis-ac7dfbdd.png,success,766714791,01a0b1bf-2157-947e-883f-1493fe7553e4,2026-08-09T17:17:44+00:00,
花冠皱盔犀鸟,Rhyticeros undulatus,rhyticeros-undulatus-859ac268.png,/animals/rhyticeros-undulatus-859ac268.png,success,114289202,39d51635-d9d4-952b-9ecf-e0acf320ef1e,2026-08-09T17:18:53+00:00,
大猩猩,Gorilla,gorilla-7b474d96.png,/animals/gorilla-7b474d96.png,success,2088531296,607aa256-b616-92d8-9c39-2edfd80f5f56,2026-08-09T17:19:57+00:00,
长颈鹿,Giraffa,giraffa-820851c2.png,/animals/giraffa-820851c2.png,success,54360460,f0d8f9a6-7aa1-9e39-abc2-5070110d50bd,2026-08-09T17:21:16+00:00,
斑马,Hippotigris,hippotigris-329b1290.png,/animals/hippotigris-329b1290.png,success,869284442,b1c94684-2470-9128-960e-2f1fd5f365d6,2026-08-09T17:22:15+00:00,
角马,Connochaetes,connochaetes-6560fb28.png,/animals/connochaetes-6560fb28.png,success,1721115378,516438a4-8875-986e-8152-4ebb24471eca,2026-08-09T17:23:29+00:00,
赤猴,Erythrocebus patas,erythrocebus-patas-563d9674.png,/animals/erythrocebus-patas-563d9674.png,success,1467137598,4e2b0287-ca82-97b6-bfe8-71eae0c49d2a,2026-08-09T17:24:35+00:00,
黑白疣猴,Colobus guereza,colobus-guereza-a954b7e2.png,/animals/colobus-guereza-a954b7e2.png,success,713678764,1b8baf67-539a-934a-a19b-a12287ca3942,2026-08-09T17:25:41+00:00,
赤大袋鼠,Macropus rufus,macropus-rufus-7f52647c.png,/animals/macropus-rufus-7f52647c.png,success,8883270,653bea01-7e02-9631-8f9f-3a6c5c798306,2026-08-09T17:27:07+00:00,
岩大袋鼠,Macropus robustus,macropus-robustus-0bf9dda8.png,/animals/macropus-robustus-0bf9dda8.png,success,221185394,77bb0cb8-b8e7-96d5-bae4-d17a95c55298,2026-08-09T17:28:21+00:00,
黑天鹅,Cygnus atratus,cygnus-atratus-833728fd.png,/animals/cygnus-atratus-833728fd.png,success,74207431,701967f0-9a27-9692-b83b-1d20cabeca1b,2026-08-09T17:29:15+00:00,
环尾狐猴,Lemur catta,lemur-catta-2c18db54.png,/animals/lemur-catta-2c18db54.png,success,760087326,0ec9eec9-0caf-9254-98b0-cebde73efba8,2026-08-09T17:30:24+00:00,
褐美狐猴,Eulemur fulvus,eulemur-fulvus-0fbd4654.png,/animals/eulemur-fulvus-0fbd4654.png,success,284323358,c21ed443-e53c-9229-871a-70b583f1de0f,2026-08-09T17:31:39+00:00,
黑白领狐猴,Varecia variegata,varecia-variegata-cbd174f3.png,/animals/varecia-variegata-cbd174f3.png,success,1292278973,458d2e62-493d-91c7-a71d-c7d16c4a1748,2026-08-09T17:32:37+00:00,
獐子,Hydropotes inermis,hydropotes-inermis-784353ea.png,/animals/hydropotes-inermis-784353ea.png,success,2037939124,22c8677b-2e13-9b7a-bdc6-764e0f163fa3,2026-08-09T17:33:35+00:00,
扬子鳄,Alligator sinensis,alligator-sinensis-ecae32b5.png,/animals/alligator-sinensis-ecae32b5.png,success,1843616383,cee4d3dd-30bd-9c99-80d7-621a7dc36de5,2026-08-09T17:34:25+00:00,
野猪,Sus scrofa,sus-scrofa-5f5276f8.png,/animals/sus-scrofa-5f5276f8.png,success,1619500738,5421d5b8-3bd4-92b3-aa06-8ff43cd5f6c0,2026-08-09T17:35:28+00:00,
赤狐,Vulpes vulpes,vulpes-vulpes-f502fe47.png,/animals/vulpes-vulpes-f502fe47.png,success,1983391249,43a9507e-f7ed-9927-86c9-208996b06799,2026-08-09T17:36:20+00:00,
鼬獾,Melogale moschata,melogale-moschata-45bb6381.png,/animals/melogale-moschata-45bb6381.png,success,1190169419,5b2edc05-bfea-9500-ade4-37f4f15b6d78,2026-08-09T17:37:18+00:00,
