动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
大熊猫,Ailuropoda melanoleuca,Ailuropoda；种：Ailuropoda melanoleuca,海拔2000—3500米的森林,中国四川省、陕西省及甘肃省南部的山区,99%为竹类植物（约60种），偶食动物尸体等,昼夜兼行的独栖动物，每日约一半时间进食，一半睡眠，无冬眠习惯,4-8岁性成熟，交配期3-5月，妊娠期90-184天（平均135天），每胎1-2仔但野外通常仅成活一只,IUCN：易危物種,秦岭大熊猫中存在棕白相间的毛色突变体，俗称“棕色大熊猫”，由Bace2基因缺失突变导致。；大熊猫拥有强壮的下颌和发达的咀嚼肌，使其能轻松咀嚼竹类植物，且其“拇指”实为一节特化的腕骨（桡侧籽骨）。；大熊猫因T1R1基因失活而无法感觉肉类鲜味，但其消化系统仍保留食肉动物特征，主要依靠肠内细菌分解竹叶。,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%86%8A%E7%8C%AB,zh,success,
小熊猫,Ailurus,Ailuridae；属：Ailurus,"小熊猫属的分布范围的最东边是中国 陕西省 秦岭 。这个范围包括了中国 西藏 南部、印度的 锡金邦 和 阿萨姆邦 、 不丹 、 缅甸 北部山区以及中国西南地区 四川省 的 横断山脉 和 云南省 的 贡山 。它也有可能生活在西藏西南部和 藏南地区 北部，但现时缺乏相关记录。喜马拉雅山脉的部分地区是小熊猫密度最高的区域，并也被认为保护了多种其它 更新世 特有物种。小熊猫的分布相对分离、并非连绵不绝 。有一个孤立的小熊猫种群栖息在 印度 东北部的 梅加拉亚 高原上 。目前本属已知两物种，呈间断分布，中华小熊猫分布于西藏东南部及缅甸北部，与喜马拉雅小熊猫栖地以 雅鲁藏布江 为界，东部属 中华小熊猫 ，西部则属 喜马拉雅小熊猫 。 在1970年代的一次调查中，科学家于尼泊尔的 多尔帕坦禁猎保护区 中发现了小熊猫的踪迹 。2007年春，四只小熊猫在当地海拔3,220至3,610米（10,560至11,840英尺）处被发现，从而证明了小熊猫在此地的存在 。这一物种存在的最西边界，位于多尔帕坦禁狩猎保护区更西面的 拉拉国家公园 ，这一发现于2008年被证实 。 小熊猫生活在海拔2,200至4,800米（7,200至15,700英尺）间，温度保持在10至25 °C（50至77 °F），每年只会有细微变化。它喜欢山上有 落叶植物 和 松柏门 的混交林，特别是有古树和浓密 竹子 的地方 。 小熊猫在 四川省 的种群数量比在云南省的种群数量更多、更稳定，显示它们的分布范围在 全新世 时期从四川向南扩张到到云南 。 小熊猫在中国的 贵州省 、 甘肃省 、陕西省和 青海省 等地已经 局部灭绝 。","小熊猫属的分布范围的最东边是中国 陕西省 秦岭 。这个范围包括了中国 西藏 南部、印度的 锡金邦 和 阿萨姆邦 、 不丹 、 缅甸 北部山区以及中国西南地区 四川省 的 横断山脉 和 云南省 的 贡山 。它也有可能生活在西藏西南部和 藏南地区 北部，但现时缺乏相关记录。喜马拉雅山脉的部分地区是小熊猫密度最高的区域，并也被认为保护了多种其它 更新世 特有物种。小熊猫的分布相对分离、并非连绵不绝 。有一个孤立的小熊猫种群栖息在 印度 东北部的 梅加拉亚 高原上 。目前本属已知两物种，呈间断分布，中华小熊猫分布于西藏东南部及缅甸北部，与喜马拉雅小熊猫栖地以 雅鲁藏布江 为界，东部属 中华小熊猫 ，西部则属 喜马拉雅小熊猫 。 在1970年代的一次调查中，科学家于尼泊尔的 多尔帕坦禁猎保护区 中发现了小熊猫的踪迹 。2007年春，四只小熊猫在当地海拔3,220至3,610米（10,560至11,840英尺）处被发现，从而证明了小熊猫在此地的存在 。这一物种存在的最西边界，位于多尔帕坦禁狩猎保护区更西面的 拉拉国家公园 ，这一发现于2008年被证实 。 小熊猫生活在海拔2,200至4,800米（7,200至15,700英尺）间，温度保持在10至25 °C（50至77 °F），每年只会有细微变化。它喜欢山上有 落叶植物 和 松柏门 的混交林，特别是有古树和浓密 竹子 的地方 。 小熊猫在 四川省 的种群数量比在云南省的种群数量更多、更稳定，显示它们的分布范围在 全新世 时期从四川向南扩张到到云南 。 小熊猫在中国的 贵州省 、 甘肃省 、陕西省和 青海省 等地已经 局部灭绝 。",小熊猫是优秀的攀爬者，其食物大多来自于树上。它们主要吃 竹子 ，也会吃一些小型哺乳动物、鸟类、蛋、花和浆果。在人工饲养的环境中，可观察到它们吃鸟类、花、 枫叶 、 桑叶 、 枫树 树皮和果实、 山毛榉 和桑树 。 像大熊猫一样，小熊猫也无法消化 纤维素 ，因此它们必须进食大量竹子维生。它们的日常饮食中约有三分之二是竹子，但也吃 蘑菇 、根、橡子、 地衣 和草，偶尔更以 鱼 和昆虫作补充。由于饮食中吸收的热量太低，它们除吃饭和睡觉外很少做其他事情 。 竹笋 比竹叶更易消化，其可消化性于夏季和秋季最高，春季居中，冬季最低；这些变化与竹子中的营养含量相对应。小熊猫消化竹子（特别是其纤维素和 细胞壁 部分）的能力并不强，这意味着 微生物消化 在它们的消化过程中只扮演了一个次要角色。为更好地生存，它们必须大量进食竹子中如嫩叶和芽等高营养的部分。小熊猫每天须吃掉超过1.5千克（3.3磅）的新鲜竹叶和超过4千克（8.8磅）的新鲜竹笋；这些食物通过消化道的速度相当快（大约2至4小时），有助于它们最大限度地摄取营养 。小熊猫能够尝出 甜味剂 （比如 阿斯巴甜 ），是已知的唯一一种能做到这点的非 灵长类 生物 。,小熊猫具有领土意识，除 繁殖季节 外均为独居。这一物种一般都比较安静，只会偶尔发出吱吱声和哨音声来交流。它被观察到同时具备 夜行性 和 黄昏性 （ 英语 ： crepuscular ） ，白天在树枝上或树洞里休息，到黄昏及黎明时会增加活动。天热时，它睡觉时会在树枝上伸展身体，四肢悬空；天冷时，它会蜷缩身体，并用尾巴盖住面部 。小熊猫对温度十分敏感，最适宜生存的温度是在17至25 °C（63至77 °F）之间，不能忍受超过25 °C（77 °F）的温度。 在每天醒来后，小熊猫会先像猫那样清理自己的皮毛，舔自己前爪后摩擦背部、躯干和身体各侧。它们也会在树边或岩石边摩擦自己的背部和腹部。接着它们会巡逻自己的领地，以 排放尿液 和通过 肛门腺 分泌一种带 麝香 的微弱分泌物做标记。它们会沿着地面或树木间觅食，并交替地用自己的前爪，将食物送入嘴中，或是直接吞食静置的食物 。 小熊猫的天敌主要包括 雪豹 、 鼬科 动物和人类。当它们感觉到威胁或危险时，它们会尝试爬到岩石柱或树上以逃离险情。一旦不能逃走，它们会用后肢站立，使它们看起来体积更大，并用它们锋利的前爪进行自卫。小熊猫“ 风太 （ 英语 ： Futa (panda) ） ”因具备一次站立十秒钟的能力，在日本成为吸引游客的亮点 。,小熊猫在其出生后18个月左右就可以进行繁殖，并在两到三岁时完全成熟。除交配外，成年小熊猫很少在野外与其它小熊猫互动。在一月中旬至早春三月的繁殖季，雌雄小熊猫都可能会和一个或多个配偶交配 。在临近生产的前几日，雌性小熊猫会开始收集诸如灌木、杂草和树叶之类的材料，为通常将建在树洞或岩石缝隙内的窝做准备。经过112至158天的妊娠期后，雌性小熊猫会在六月中旬到七月下旬产下一到四只尚不能睁眼或听到声音的幼崽，每只大约重110至130克（3.9至4.6盎司） 。 生产后，小熊猫妈妈会清洗幼崽们，并可通过气味辨别每一只幼崽。刚开始时，小熊猫妈妈会花六至九成的时间和幼崽们在一起。在第一个星期之后，她会开始把更多的时间用在巢外，每隔数小时回去照顾并清洗幼崽。她会频繁地把幼崽在数个巢窝之间转移，并把所有的巢窝都保持得一样整洁。幼崽们会在出生约18天睁眼；在出生90天左右，它们的皮毛和色彩已完全长成，并开始在巢窝外进行探险及进食较硬的食物；在出生六到八个月后，它们会断奶。直到来年夏天下一窝幼崽出生之前，这些幼崽都会一直和母亲住在一起。雄性小熊猫几乎不会帮助抚养幼崽，除非它们一对住在一起，或生活在一个小群体中 。 小熊猫的 平均寿命 为八到十年，但也有一些个体能活到15岁。,,,https://zh.wikipedia.org/wiki/%E5%B0%8F%E7%86%8A%E7%8C%AB%E5%B1%9E,zh,partial,"LLM 请求或结构化解析失败：Error code: 400 - {'error': {'code': 'data_inspection_failed', 'param': None, 'message': 'Input text data may contain inappropriate content.', 'type': 'data_inspection_failed'}, 'id': 'chatcmpl-f906b1f4-6b80-9ef1-b4ba-2fa9e2ff836f'}；字段缺失：保护状态、趣味事实"
川金丝猴,Rhinopithecus roxellana,属：Rhinopithecus；种：Rhinopithecus roxellana,森林,特有于中华人民共和国，分布在湖北、四川、陕西、甘肃相交界的森林之中，分布区域在岷山、邛崃山、大雪山、小凉山、秦岭、神农架、摩天岭北坡。,以植物性食物为主，包括植物的芽孢、花、果实、树皮、种子等，偶尔也捕食鸟、小型昆虫等。,典型的森林树栖动物，常年栖息于海拔1500-3300m的森林中。随季节变化作垂直移动。按家族性的小集群为活动单位组成大集群，每个小家族集群由一只成年雄体为首领和3-5只雌猴及3岁以下的幼猴所组成。晝行性。,雌性约4-5岁性成熟，雄性约7岁性成熟。全年均有交配，以8-10月最盛。孕期6个月左右，多于3-4月产仔。,IUCN：瀕危 (保育狀況),川金丝猴因有一身金色的皮毛而得名，其金色毛皮在古代被视为珍品，被认为具有保暖极佳、除湿疗效及避邪的作用。；动物学家Milne-Edwards用苏莱曼大帝的翘鼻金发夫人洛克安娜（Roxellana，即许蕾姆苏丹）的名字为其命名。,https://zh.wikipedia.org/wiki/%E5%B7%9D%E9%87%91%E4%B8%9D%E7%8C%B4,zh,success,
羚牛,Budorcas taxicolor,属：Budorcas；种：Budorcas taxicolor,"森林，海拔2,000-4,500米的竹林中",分布于喜马拉雅山东麓密林地区，包括西藏自治区、云南省、青海省、四川省、甘肃省、陕西省等地；在不丹境内也有分布。,主要以草、树叶及花蕾为食,一般在白天活动。冬天组成小规模的种群，夏天时种群数量可扩充到100头以上，年长的公羚牛则基本为独居。,孕期7.5±0.5月，每胎产一子，平均寿命为12-15年。,IUCN：易危物種,羚牛头如马、角似鹿、蹄如牛、尾似驴，体型介于牛和羊之间，被称为“四不像”。；在藏语中被称为“ra rgya”，被不丹奉为国兽。,https://zh.wikipedia.org/wiki/%E7%BE%9A%E7%89%9B,zh,success,
小麂,Muntiacus reevesi,属：Muntiacus；种：Muntiacus reevesi,"森林，包括阔叶林及水源处，分布海拔从低海拔到3,000米。",自然分布于中国华中、华南地区及台湾全岛（台湾特有亚种）。人为引入族群分布于日本（房总半岛、伊豆大岛、千叶县）及英国（德比郡以南等地）。,草食性,性格胆小，多数独居，领域几乎不重叠。一只雄性的领域中可能有三、四只雌性。眼腺发达，远看犹如四只眼睛，叫声似犬吠。雄性有短角且不分叉，保有上犬齿。,雌性约五个月性成熟，排卵间隔约14天，每胎生一只，怀孕期七至八个月，生产后三至四天可再受孕，全年均可连续繁殖，幼仔多同期出生。雄性约九个月性成熟，换角期间仍具制造精子的生殖力。,IUCN：无危物种,因眼腺发达，远看之下犹如四只眼睛，故有人称之为“四目鹿”。；雄性小麂的角很少超过10厘米，且不分叉，每年12月开始生长，隔年六月掉落。；与一般草食性动物不同，小麂雌性形成集体的大量怀孕周期，幼仔多数同期出生。,https://zh.wikipedia.org/wiki/%E5%B1%B1%E7%BE%8C,zh,success,
豺,Cuon alpinus,属：Cuon；种：Cuon alpinus,豺为典型的山地动物，栖息于山地草原、亚高山草甸及山地疏林中，晨昏活动最频繁。豺曾经广布亚洲大陆，但是目前已知的豺仅分布于 俄罗斯 、 蒙古 、 哈萨克斯坦 、 吉尔吉斯斯坦 和 塔吉克斯坦 。在 中国 西藏 的一些地区也有分布。它们大多栖息在印度 恒河 以南，特别是在印度中部高地和南部各州的 西部 和 东高止山脉 。它们也栖息在印度东北部的 阿鲁纳恰尔邦 、 阿萨姆邦 、 梅加拉亚邦 和 西孟加拉邦 。在 克什米尔 、 喜马拉雅 地区和 印度 西北部的豺数量岌岌可危，而且分布极其分散。,分布于：南岭,花鹿、長尾葉猴屬、水牛、印度野牛、野豬、蓝孔雀、鼷鹿科、水鹿、沼鹿、斑羚属、藍牛羚、家山羊、牛、穴兔類、兔属、亚洲象、印度犀牛、爪哇野牛、麂属、水果、越橘、草、腐肉、食物浪費、西方狍、加拿大馬鹿、驯鹿、梅花鹿、野鼠类、鼠兔属、蔬菜、波叶大黄、鼠属、鬣羚、驼鹿、欧洲马鹿、原麝、阿尔泰盘羊、裏海紅鹿、维氏盘羊,,孕期：61±1天,IUCN：瀕危 (保育狀況),,https://zh.wikipedia.org/wiki/%E8%B1%BA,zh,partial,"LLM 请求或结构化解析失败：Error code: 400 - {'error': {'code': 'data_inspection_failed', 'param': None, 'message': 'Input text data may contain inappropriate content.', 'type': 'data_inspection_failed'}, 'id': 'chatcmpl-dde363ce-56b2-9995-bc83-127f1f8af786'}；字段缺失：行为、趣味事实"
中华扭角羚四川亚种,Budorcas taxicolor,属：Budorcas；种：Budorcas taxicolor,森林,分布于西藏自治区、云南省,主要以草、树叶及花蕾为食,一般在白天活动。冬天组成小规模的种群，夏天时种群数量可扩充到100头以上，年长的公羚牛则基本为独居,孕期：7.5±0.5月；每胎数量：1,IUCN：易危物種,在藏语中被称为“ra rgya”，被不丹奉为国兽；头如马、角似鹿、蹄如牛、尾似驴，体型介于牛和羊之间,https://zh.wikipedia.org/wiki/%E7%BE%9A%E7%89%9B,zh,success,
双角犀鸟,Buceros bicornis,属：Buceros；种：Buceros bicornis,,特有于：加济兰加国家公园、Nameri National Park、纳姆达帕国家公园、Buxa Tiger Reserve、Pani Dihing Wildlife Sanctuary、Ramanagara Ramdevara Betta Vulture Sanctuary、Gorumara National Park、Chapramari Wildlife Sanctuary、Neora Valley National Park、默哈嫩達野生動物保護區、Jaldapara National Park、Dehing Patkai National Park、馬納斯國家公園、Hoollongapar Gibbon Sanctuary、Pobitora Wildlife Sanctuary、Digholi Beel、Jeypore Reserve Forest、Panbari Reserve Forest、鷹巢野生動植物保護區、祁灵公山、Pakhui Tiger Reserve。分布于印度、马来半岛与苏门达腊等地。,榕属、Vitex altissima、樟科、肉豆蔻科,,每胎数量：2；孵化期：39天,IUCN：易危物種,双角犀鸟是犀鸟科中最大的一种，身长90~130公分，翼展可达152公分。；这种鸟类最长可存活大约50年。,https://zh.wikipedia.org/wiki/%E5%8F%8C%E8%A7%92%E7%8A%80%E9%B8%9F,zh,partial,字段缺失：栖息地、行为
花冠皱盔犀鸟,Rhyticeros undulatus,属：Rhyticeros；种：Rhyticeros undulatus,,分布于印度东北部及东南亚等地。中国仅在云南省盈江县有少量分布。Wikidata列出的具体保护区包括Pakhui Tiger Reserve、Buxa Tiger Reserve、纳姆达帕国家公园等，但Wikipedia正文仅提及印度东北部、东南亚及中国云南盈江。,,,孵化期约40天。,IUCN：易危物種,,https://zh.wikipedia.org/wiki/%E8%8A%B1%E5%86%A0%E7%9A%B1%E7%9B%94%E7%8A%80%E9%B8%9F,zh,partial,字段缺失：栖息地、食性、行为、趣味事实
大猩猩,Gorilla,Gorillini；属：Gorilla,大猩猩是森林动物，低地大猩猩主要生活在刚果民主共和国低地的热带雨林中，山地大猩猩主要生活在维鲁加山脉和布温迪山脉的山林中。,大猩猩分布于非洲大陆赤道附近丛林中。西部栖息地位于刚果、加蓬、喀麦隆、中非、赤道几内亚、尼日利亚（西部低地大猩猩）；东部栖息地位于民主刚果东部、乌干达、卢旺达（东部山地大猩猩）。,草食性（素食），主要食物为果实、叶子和根，其中叶子占主要部分，偶尔摄入植物上的昆虫。,大猩猩是白日活动的森林动物，以指关节支撑身体行进（猩猩步），可短暂双脚行走或站立。晚上用树叶做窝。群体以一头雄兽（银背）为中心，群大小2至30头。敲击胸脯用于标示存在、传递体型信息以评估彼此实力，避免冲突。使用带刺含鞣酸叶子消灭寄生虫。野生个体可使用树枝探测水深或石头砸开核桃。,一夫多妻制，孕期约9个月（255天至270±19天），通常每胎产1仔，两次生产间隔三至四年。新生儿体重约2千克，幼兽跟随母亲三至四年。雌兽8至10岁性成熟，雄性9至11岁性成熟，寿命40至50年。,所有大猩猩亚种均被列入世界自然保护联盟红色名录中，受威胁程度不同（如山地大猩猩数量极少，克罗斯河大猩猩低于300只）。,大猩猩与人类有92%至98%的DNA排列相同，是继黑猩猩后与人类最接近的现存动物。；大猩猩拥有各不相同的指纹，且血型绝大多数为B型。；驯养的大猩猩（如可可）甚至会使用手语进行交流。,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%8C%A9%E7%8C%A9,zh,success,
